,word
0,2lgbtqias
1,2nite
2,abbasi
3,ade
4,aku
5,atonia
6,awwww
7,bagus
8,benda
9,biden
10,bradbury
11,cee
12,chakra
13,charle
14,cosa
15,covid-19
16,cupcakke
17,elysia
18,etcnon
19,fair1
20,familia
21,fil
22,furrie
23,gc
24,georgiafreedom
25,goldwater
26,gop
27,grat
28,grt
29,gta
30,hak
31,ig
32,inb4
33,kadhi
34,kalo
35,karlsberg
36,koda
37,kulah
38,l3sbians
39,latifi
40,lgbt2
41,lgbtabc123xyz
42,lgbtq
43,lgbtq2
44,lgbtqia2
45,lgbt÷
46,looney
47,mau
48,nep
49,peele
50,ppls
51,proship
52,proshpped0
53,rated18
54,rogan
55,rostow
56,rp
57,sama
58,su1c1de
59,tabeta
60,titanbi
61,vag
62,vinny
63,visto
64,wickham
65,ww2
66,yagi
67,zahra
68,新人vtuber
